,mbti,title,content,mbti_label,e_i,n_s,f_t,j_p
0,enfj,잇티제남이 서운한 감정이 있나봐요!ㅜ,3 갤 썸타구 사귀기 시작했는데 썸일 때도 잘 자요 매일 했는데 제가 긴장이 풀렸는지 어제 그냥 피곤해서 잤거든요 그랬더니 오늘 굿모닝 선독은 오는데 갑자기 장난도 안치구 사무적으로 해요 쿨해 보이긴 하는데 잇 이제 남두 삐지나요 ㅜㅜㅜ 계속 애교 부리면 풀리겠죠 힝,0,1,1,1,1
1,estp,음식 덜 먹고 운동 개빡세게 했는데 몸무게가 더 올라 있는건 뭘까요...?,주말에 돈가스랑 팬케이크 먹고 아주 파티를 벌여서 어제는 샐러드 다이어트 도시락 딱 두 개만 먹고 헬스 근력 50분 유산소 30분 하고 집에 들어왔어요. 그런데 돈가스 먹고 운동 안 했을 때보다 몸무게가 5kg 늘어있네요... 혹시 이 현상 뭐가 문제인지 궁에 해주실 분 계시나요,7,1,0,0,0
2,istj,아무리 생각해도 이 잇티제남 맘뜬거 아닌가요?,"사귄 후 일이 주차에 여행 문제로 남자가 삔 또 상하고는 태도가 이러면 맘 때 뜬 거 맞지 않나요 남자가 연애 막 시작해서는 너 연예인 누구보다 네가 더 이쁘고 좋다 그러고 카톡에 하트 엄청 붙이고 그랬는데, 여행 문제 이후로는 이제 그런 거 하나도 없음. 카톡에 하트 절대 안 붙임. 남자가 썸 타거나 연애 막 시작하고는 토 일 연속으로 보자고 하더니 이제는 토요일 봐도 일요일 또 보잔 얘기 없음 2주 만에 행동이 저래서 서로 식은 느낌이라 우리 서로 식은 거 같은데 이렇게 사귀는 게 맞나 싶다 했더니 남자가 나는 처음과 같은 마음은 아닌데 식은 거 같진 않다 함 그렇지만 헤어지기 직전엔 포옹 1 20분 껴안고 있다가 헤어짐, 그렇지만 예전처럼 눈에 꿀 떨어지는 느낌이 전혀 안 듦 마음 떴지만 만나서 스킨십은 하고 싶어서 보내기 싫은척하는 그런 단계인가요 객관적으로 봐주세요 이번 주 고민 좀 해봐야 될 거 같네요....",14,0,0,0,1
3,isfp,Estj 나쁜놈,바쁜 건 알지만 10분만 얼굴 비춰달라는 게 그렇게 어려운 부탁이었을까요 해본 적이 없어서 대답을 못하겠다 할 수 있다고 말을 못 하겠다 40프로 가능할 거 같아서 그렇다 알겠다고 했다가 안 하면 실망할 거다 뭐 이런.. ~ 그냥 싫다는 거잖아,13,0,0,1,0
4,enfp,잇티제 카톡,"istj랑 카톡 하는데 계속 저만 질문하는 것 같고ㅜ 근데 또 대답은 다 하고 텀도 빠르고.. 그래서 행복 회로 돌리면서 연락하고 있었는데 오늘 저 ㅇ ㅏ 넵 상대방 넵 이렇게 보내서 그냥 읽씹했거덩여.. 전에도 상대방 ㅇㅋ 저 영.. 상대방 ㅇㅋ 이렇게 끝난 적 있는데 그땐 상대방이 제 스토리에 답장 남기면서 또 연락 이어갔었거든요 이것은 연락은 하겠다는 건지 그만 보내라는 시그널인지 감이 안 잡혀서,, ㅠ ㅠ 지금은 읽씹중인데 다시 다른 이야깃거리를 던져볼까요 아님 그 사람이 선독 할 때까지 기다릴까요,",1,1,1,1,0
5,enfp,잇티제남 생각보다 표현을 잘하고 적극적이에요!!,"잇디 제남이랑 사귀게 됐어요 ㅎㅎㅜㅜ 이것저것 많이 알아봤지만... istj는 표현을 안 함, 오래 지켜봄, 벽 보고 말하는 거 같음, 무관심, 외롭게 함, 눈 높음, 계산적임 등 안 좋은 얘기 가 많아서 걱정했는데 썸 때도 절 헷갈리게 하지도 않았고 ㅎㅎㅎ애프터 때도 바로 고백받고 사귀고 나서도 표현도 잘하네요 대화도 잘 통하고요 ㅜㅜ 먼저 질문도 잘하고 관심도 많이 가져주고 진짜 타인한테는 관심이 없는데 나에게만 열려있는 사랑꾼 느낌 너무 좋아요 ㅠㅠ 연애 초반 효과가 있을진 몰라도 ㅎㅎ 만약 저같이 잇 이제 남을 공략하고 싶으신 분들은 너무 겁먹지 않으셨으면 해요 제가 남자친구의 이상형이라 남자친구 바운더리에 빨리 들어간 것 같긴 한데 istj라도 좋아하면 직진하는 것 같아요",1,1,1,1,0
6,enfp,ISTJ 여성분은 호감표시를 하시나요?,"요즘 만나는 여성분이 istj인데 직접 만나면 덜하지만, 카톡을 할 때면 로봇 같은 느낌이 나요... 저를 좋게 보는지도 모르겠습니다.. istj 여성분들이 하시는 플로팅이나 호감 표시가 있으신가요",1,1,1,1,0
7,isfj,ISTJ끼리 만나면 자주 싸우나요?,"저희 엄마와 제 동생 얘기인데요, 둘 다 istj에요. 둘이 하루에도 몇 번씩 싸워요. 엄마 말로는 동생이 엄마 어렸을 때 했던 행동들을 똑같이 하고 있으니까 열불 나서 싸우고 동생말로는 본인은 똑바로 하고 있는데 하나부터 열까지 엄마가 못 미더워하니까 싸우는 거래요 그렇게 둘이 싸우고 분풀이는 꼭 저한테 해요. 저는 출가했기도 하고 본가에 남아있는 둘이 알아서 풀라고 하죠 원래 istj끼리 잘 싸우나요 아님 그냥 둘 성격이 흔히 말하는지 x 같아서인지 궁금해요",12,0,0,1,1
8,infj,잇티제님들. 이런분 계신가요?,istj 남자가 가끔 이런 말을 해요. 나중에 결혼하면 같이 살다가 자기가 재미없고 지루한 거 알고는 떠날까 봐 늘 두렵대요. 잇디 제가 솔직히 리액션도 로봇 같고 다른 유형에 비하면 재미없긴 하지만 나름대로의 매력이 있는데.. 이런 걱정 하는 istj님 계신가요,8,0,1,1,1
9,istj,Istj 남자들은 진심만 말하나요? 연기도 하나요?,사실 연애 극 초반인데 저는 사실 서로 식었다 생각했거든요 근데 남자가 이번 주 휴가 가면서 다다음 주 주말에나 볼 수 있겠네 보고 싶으면 어떻게 하냐 오늘 헤어지면서 지하철역 개표소에서 저 보내기 싫다고 좀 더 있다 들어가라고 1 20분 정도 껴 안다가 이제 집 가라고 한 경우 아직 식은 건 아니고 저 말 다 진심일까요 아니면 그냥 맘에 없는 소리 하는 걸까요,14,0,0,0,1
